Update,Avg_Reward,Avg_Ep_Length,Miss_Dist_m,Impact_Speed_ms,Policy_Loss,Value_Loss,Stage,Success_Rate,Entropy,KL,Time,Succ_S0,Succ_S1,Succ_S2,Succ_S3
0,-123.71768188476562,159.45498783454988,17.869911193847656,18.491130828857422,0.005611737258732319,0.36287587881088257,0,0.0,-3.363521099090576,0.0017995901871472597,40.231865644454956,0.0,0.0,0.0,0.0
10,-107.16288757324219,302.7066974595843,70.21247100830078,12.736891746520996,-0.008743551559746265,0.08469593524932861,0,0.0,-3.355027675628662,0.005423710681498051,95.89620399475098,0.0,0.0,0.0,0.0
20,-96.53713989257812,480.1172161172161,82.54644775390625,19.40470314025879,-0.004591763950884342,0.009445743635296822,0,0.007326007326007326,-3.4228315353393555,0.005813547410070896,154.86633443832397,0.007326007326007326,0.0,0.0,0.0
30,-30.467239379882812,345.83641160949867,11.769132614135742,5.579747200012207,0.006032116711139679,0.04427744820713997,0,0.079155672823219,-3.423884391784668,0.005854506511241198,214.63562488555908,0.079155672823219,0.0,0.0,0.0
40,2.660740375518799,343.12041884816756,6.905126094818115,2.9058594703674316,0.017222262918949127,0.12866371870040894,0,0.24607329842931938,-3.3875105381011963,0.005540426354855299,272.37535977363586,0.24607329842931938,0.0,0.0,0.0
50,17.36181640625,345.83641160949867,6.00004768371582,1.3757168054580688,-0.00859464518725872,0.21285971999168396,0,0.44854881266490765,-3.3620340824127197,0.0028869002126157284,328.4363374710083,0.44854881266490765,0.0,0.0,0.0
60,64.06285095214844,289.3421633554084,6.194423198699951,1.8312573432922363,0.0028250450268387794,0.20336167514324188,0,0.7858719646799117,-3.332143545150757,0.004280385561287403,380.2092616558075,0.7858719646799117,0.0,0.0,0.0
70,82.31466674804688,305.52913752913753,6.52263879776001,1.4342195987701416,-0.007589792832732201,0.10010598599910736,1,0.9836829836829837,-3.2922935485839844,0.006125472951680422,432.56904768943787,0.9836829836829837,0.0,0.0,0.0
80,35.20824432373047,704.6881720430108,77.52178192138672,11.917396545410156,0.0059290858916938305,0.09777706116437912,1,0.1935483870967742,-3.2839531898498535,0.0032859272323548794,481.5397539138794,1.0,0.14772727272727273,0.0,0.0
90,17.59964370727539,942.9640287769785,99.68484497070312,8.440947532653809,0.0015379092656075954,0.015170630998909473,1,0.0,-3.289628267288208,0.006580270826816559,548.8932414054871,0.0,0.0,0.0,0.0
100,-8.307482719421387,771.0117647058823,162.047119140625,3.4562134742736816,0.0010080616921186447,0.0060510095208883286,1,0.0,-3.2667672634124756,0.0035132039338350296,617.6428589820862,0.0,0.0,0.0,0.0
110,17.23318862915039,829.5696202531645,84.71587371826172,1.356820821762085,0.005826084408909082,0.004380332306027412,1,0.0,-3.201814651489258,0.004121221601963043,688.1044120788574,0.0,0.0,0.0,0.0
120,21.937973022460938,757.6416184971098,45.08495330810547,1.4332859516143799,-0.005157151259481907,0.004564093425869942,1,0.0,-3.1934146881103516,0.0031209788285195827,757.4810678958893,0.0,0.0,0.0,0.0
130,20.159677505493164,665.3401015228426,39.076210021972656,1.2603408098220825,-0.015699926763772964,0.0036443346180021763,1,0.0,-3.184933662414551,0.0038738336879760027,825.6934826374054,0.0,0.0,0.0,0.0
140,24.912811279296875,873.8133333333334,34.85438537597656,1.357826828956604,-0.0010908576659858227,0.002924043918028474,1,0.0,-3.119256019592285,0.003097990993410349,895.8152425289154,0.0,0.0,0.0,0.0
150,24.62523078918457,851.1168831168832,31.458667755126953,1.3094779253005981,-0.010900343768298626,0.003914352972060442,1,0.006493506493506494,-3.0919675827026367,0.00290256692096591,962.4407153129578,0.014285714285714285,0.0,0.0,0.0
160,35.84193801879883,642.5098039215686,17.0251407623291,1.0719726085662842,-0.002774003427475691,0.049603287130594254,1,0.3137254901960784,-3.081050395965576,0.006232137326151133,1014.5657839775085,0.5245901639344263,0.0,0.0,0.0
170,56.34996795654297,593.0859728506788,27.606428146362305,2.475567579269409,0.014300152659416199,0.03389129787683487,1,0.2986425339366516,-3.0776100158691406,0.00400268379598856,1063.6207978725433,0.9166666666666666,0.0,0.0,0.0
180,60.113319396972656,845.6258064516129,26.928247451782227,2.4084043502807617,-0.002950177062302828,0.016437338665127754,1,0.1870967741935484,-3.0612974166870117,0.0033214709255844355,1113.5559129714966,0.90625,0.0,0.0,0.0
190,59.68901824951172,819.2,20.361265182495117,2.488283395767212,-0.010923990048468113,0.016850896179676056,1,0.1875,-3.0251002311706543,0.005176620092242956,1162.7517304420471,0.8787878787878788,0.007874015748031496,0.0,0.0
