Update,Avg_Reward,Avg_Ep_Length,Miss_Dist_m,Impact_Speed_ms,Policy_Loss,Value_Loss,Stage,Success_Rate,Entropy,KL,Time,Succ_S0,Succ_S1,Succ_S2,Succ_S3
0,-127.51042175292969,155.66745843230404,18.27634048461914,18.78334617614746,0.015745077282190323,0.3935103714466095,0,0.0,-3.3717336654663086,0.0030102157033979893,46.02029252052307,0.0,0.0,0.0,0.0
10,-200.41371154785156,344.0209973753281,151.84945678710938,21.53839111328125,0.0024844661820679903,0.1094626635313034,0,0.0,-3.415139675140381,0.004665692336857319,127.73518753051758,0.0,0.0,0.0,0.0
20,-112.63877868652344,550.7226890756302,97.01099395751953,21.71073341369629,-0.009197973646223545,0.0038200896233320236,0,0.008403361344537815,-3.397416830062866,0.003451815340667963,195.53030610084534,0.008403361344537815,0.0,0.0,0.0
30,-51.064537048339844,459.9017543859649,74.95567321777344,8.649571418762207,0.002249576384201646,0.007206382229924202,0,0.031578947368421054,-3.39450740814209,0.004611275624483824,272.942449092865,0.031578947368421054,0.0,0.0,0.0
40,-13.734338760375977,256.0,16.180538177490234,3.3976492881774902,-5.8214180171489716e-05,0.04785797744989395,0,0.10546875,-3.3605897426605225,0.004439648240804672,347.7979474067688,0.10546875,0.0,0.0,0.0
50,-4.647927284240723,361.07988980716254,18.993804931640625,2.2892696857452393,0.00721585750579834,0.056663695722818375,0,0.21763085399449036,-3.325316905975342,0.005135528277605772,413.93237590789795,0.21763085399449036,0.0,0.0,0.0
60,25.549991607666016,344.9263157894737,9.763006210327148,1.6634268760681152,0.001334507018327713,0.12404915690422058,0,0.5605263157894737,-3.2879223823547363,0.005141928791999817,480.9527566432953,0.5605263157894737,0.0,0.0,0.0
70,72.59281921386719,308.4047058823529,7.903384685516357,1.658461570739746,-0.012694655917584896,0.11168688535690308,1,0.9270588235294117,-3.2779135704040527,0.003073581727221608,542.6511626243591,0.9270588235294117,0.0,0.0,0.0
80,47.37025833129883,541.6198347107438,46.63896942138672,4.860578536987305,0.0003767944872379303,0.03998343646526337,1,0.1446280991735537,-3.2095284461975098,0.005743949208408594,612.9424705505371,1.0,0.037209302325581395,0.0,0.0
90,41.80572509765625,1040.2539682539682,57.79811096191406,6.469389915466309,-0.011215495876967907,0.019550681114196777,1,0.18253968253968253,-3.2047858238220215,0.003908555023372173,673.2354497909546,0.7857142857142857,0.01020408163265306,0.0,0.0
100,34.2515869140625,736.3595505617977,50.31207275390625,3.409052848815918,-0.0026019832585006952,0.009497822262346745,1,0.0056179775280898875,-3.2155866622924805,0.004003706853836775,732.6727514266968,0.03333333333333333,0.0,0.0,0.0
110,22.259334564208984,970.9037037037037,34.70772933959961,1.965873122215271,-0.013401503674685955,0.0044416338205337524,1,0.0,-3.1964011192321777,0.010034319013357162,793.0946340560913,0.0,0.0,0.0,0.0
120,12.402179718017578,645.6748768472906,28.53565216064453,4.013423919677734,-0.0012172008864581585,0.00940908957272768,1,0.0,-3.1746487617492676,0.005100196227431297,850.0924279689789,0.0,0.0,0.0,0.0
130,43.044410705566406,490.9063670411985,33.47034454345703,2.9834394454956055,0.0009639249183237553,0.05719776451587677,1,0.4157303370786517,-3.1282362937927246,0.006427739281207323,907.1778464317322,0.7207792207792207,0.0,0.0,0.0
140,55.17403793334961,675.6288659793814,41.863338470458984,3.2029480934143066,-0.0011552454670891166,0.02540476992726326,1,0.21649484536082475,-3.131195068359375,0.003986081574112177,966.5067150592804,0.9047619047619048,0.02631578947368421,0.0,0.0
150,53.91393280029297,732.245810055866,40.798099517822266,3.7032108306884766,-0.0035001197829842567,0.019822198897600174,1,0.2122905027932961,-3.1157174110412598,0.003976503852754831,1023.551483631134,0.8823529411764706,0.05517241379310345,0.0,0.0
160,58.13313293457031,862.3157894736842,33.15889358520508,2.6834793090820312,0.0021551819518208504,0.017113596200942993,1,0.19736842105263158,-3.1180214881896973,0.003328237682580948,1077.3293306827545,0.8620689655172413,0.04065040650406504,0.0,0.0
170,51.15019989013672,775.5739644970414,33.41908264160156,3.044992685317993,-0.011375931091606617,0.014530124142765999,1,0.13609467455621302,-3.1435301303863525,0.0038928815629333258,1132.5199961662292,0.5945945945945946,0.007575757575757576,0.0,0.0
180,55.99131774902344,658.6532663316583,32.764469146728516,2.3537709712982178,-0.008506840094923973,0.028940660879015923,1,0.3065326633165829,-3.1348814964294434,0.003979546017944813,1189.5720069408417,0.855072463768116,0.015384615384615385,0.0,0.0
190,56.01112365722656,732.245810055866,43.2255859375,2.5240304470062256,0.002322915242984891,0.012511420994997025,1,0.2011173184357542,-3.137596607208252,0.00635377736762166,1251.2844877243042,0.8947368421052632,0.014184397163120567,0.0,0.0
200,55.994712829589844,873.8133333333334,37.29475402832031,2.0755953788757324,0.00535653717815876,0.008294286206364632,1,0.11333333333333333,-3.1098146438598633,0.005099830217659473,1321.4956979751587,0.5416666666666666,0.031746031746031744,0.0,0.0
210,78.91242980957031,537.1803278688525,29.642892837524414,2.6737220287323,-0.006202692165970802,0.04867176711559296,1,0.5737704918032787,-3.1022534370422363,0.004974226467311382,1383.7494356632233,0.8020833333333334,0.42567567567567566,0.0,0.0
220,77.92524719238281,606.8148148148148,36.44779586791992,1.5797678232192993,-0.001542925601825118,0.04300698637962341,1,0.5509259259259259,-3.0510969161987305,0.004253487568348646,1451.3335263729095,0.9861111111111112,0.3333333333333333,0.0,0.0
230,86.7555923461914,639.3756097560976,38.02936935424805,2.7187561988830566,0.010400752536952496,0.02938513644039631,1,0.4975609756097561,-3.0445799827575684,0.004956984426826239,1519.7171001434326,0.9354838709677419,0.41954022988505746,0.0,0.0
240,86.16454315185547,716.24043715847,29.324996948242188,2.5723674297332764,0.005960137117654085,0.027280732989311218,1,0.6120218579234973,-3.042032241821289,0.004965419881045818,1576.2795703411102,0.9696969696969697,0.5333333333333333,0.0,0.0
250,99.30304718017578,502.191570881226,24.91507911682129,3.3192758560180664,0.00188345683272928,0.037448108196258545,1,0.7432950191570882,-3.0250868797302246,0.004883594810962677,1632.819097518921,1.0,0.7086956521739131,0.0,0.0
260,108.3970947265625,630.1538461538462,12.479668617248535,2.1474361419677734,0.011733727529644966,0.02438141219317913,1,0.8221153846153846,-3.043821334838867,0.003746661124750972,1696.3940246105194,1.0,0.7823529411764706,0.0,0.0
