Update,Avg_Reward,Avg_Ep_Length,Miss_Dist_m,Impact_Speed_ms,Policy_Loss,Value_Loss,Stage,Success_Rate,Entropy,KL,Time,Succ_S0,Succ_S1,Succ_S2,Succ_S3
0,-124.17897033691406,158.10856453558503,17.435014724731445,18.416017532348633,-0.010319851338863373,0.35835757851600647,0,0.0,-3.3560101985931396,0.004130725283175707,40.88459873199463,0.0,0.0,0.0,0.0
10,-257.00750732421875,305.52913752913753,131.02813720703125,21.911840438842773,-0.011077068746089935,0.09326120465993881,0,0.0,-3.4082422256469727,0.004283057525753975,99.50632762908936,0.0,0.0,0.0,0.0
20,-95.2340087890625,582.5422222222222,102.0687026977539,19.737062454223633,0.011262819170951843,0.002318945247679949,0,0.0044444444444444444,-3.3472776412963867,0.0047132279723882675,158.8545196056366,0.0044444444444444444,0.0,0.0,0.0
30,-44.407081604003906,489.07462686567163,14.05687141418457,9.759593963623047,-0.00590370362624526,0.007120481692254543,0,0.06343283582089553,-3.356696128845215,0.010506199672818184,216.58541464805603,0.06343283582089553,0.0,0.0,0.0
40,11.973731994628906,288.704845814978,5.082115650177002,2.5190792083740234,-0.002967722015455365,0.05023220181465149,0,0.30837004405286345,-3.3095901012420654,0.003849033499136567,277.29370617866516,0.30837004405286345,0.0,0.0,0.0
50,35.78816223144531,302.00921658986175,8.032251358032227,1.8952527046203613,-0.012430590577423573,0.07173478603363037,0,0.5990783410138248,-3.3267552852630615,0.0024737860076129436,331.0822660923004,0.5990783410138248,0.0,0.0,0.0
60,66.34141540527344,280.0683760683761,5.2259297370910645,1.8674176931381226,-0.0002140682190656662,0.060366980731487274,0,0.7991452991452992,-3.2767560482025146,0.0024831481277942657,383.4164328575134,0.7991452991452992,0.0,0.0,0.0
70,73.87632751464844,320.46943765281173,9.908892631530762,1.640920877456665,0.004868973046541214,0.03603607043623924,1,0.960880195599022,-3.2838099002838135,0.002262082416564226,434.9377529621124,0.960880195599022,0.0,0.0,0.0
80,55.32563018798828,728.1777777777778,41.43804168701172,9.398194313049316,-0.015683159232139587,0.041855815798044205,1,0.22777777777777777,-3.2081785202026367,0.004130685701966286,500.76309847831726,1.0,0.16265060240963855,0.0,0.0
90,37.655033111572266,1057.032258064516,35.96119689941406,6.993152141571045,0.0027335386257618666,0.008678445592522621,1,0.07258064516129033,-3.214895248413086,0.007189543452113867,569.6869010925293,0.2222222222222222,0.011363636363636364,0.0,0.0
100,27.568904876708984,693.5026455026455,29.52907943725586,2.5851845741271973,-0.0005870379973202944,0.004614440258592367,1,0.0,-3.205085277557373,0.007113475352525711,638.3489491939545,0.0,0.0,0.0,0.0
110,31.060333251953125,862.3157894736842,16.99920654296875,1.3655195236206055,0.002213674131780863,0.002677245531231165,1,0.019736842105263157,-3.176931381225586,0.0063932230696082115,691.69646525383,0.027777777777777776,0.0125,0.0,0.0
120,60.597843170166016,560.1367521367522,21.572219848632812,2.683917284011841,-0.004915670491755009,0.053545352071523666,1,0.5726495726495726,-3.125938892364502,0.0038944086991250515,743.7394015789032,0.9699248120300752,0.04950495049504951,0.0,0.0
130,62.96589660644531,845.6258064516129,31.47709846496582,2.40295672416687,-0.010923025198280811,0.013424756936728954,1,0.1935483870967742,-3.0840001106262207,0.004043213091790676,797.0052926540375,0.95,0.08148148148148149,0.0,0.0
140,45.985233306884766,891.6462585034013,69.90636444091797,3.4880220890045166,-0.0015402971766889095,0.010070810094475746,1,0.14285714285714285,-3.0948572158813477,0.0028297286480665207,848.4527945518494,0.875,0.0,0.0,0.0
150,48.398643493652344,732.245810055866,53.51478958129883,1.8225575685501099,-0.013390791602432728,0.011548380367457867,1,0.1005586592178771,-3.1227688789367676,0.006004633381962776,897.8496813774109,0.9444444444444444,0.006211180124223602,0.0,0.0
160,36.52366638183594,668.734693877551,73.91439819335938,4.246407508850098,-0.012331068515777588,0.014705995097756386,1,0.11224489795918367,-3.109614133834839,0.006141878664493561,971.2214448451996,0.5675675675675675,0.006289308176100629,0.0,0.0
170,45.87650680541992,639.3756097560976,62.60795593261719,3.0319085121154785,-0.0008093845099210739,0.02067071944475174,1,0.21951219512195122,-3.09047794342041,0.005091602448374033,1032.1386699676514,0.5921052631578947,0.0,0.0,0.0
180,51.304931640625,577.409691629956,37.734710693359375,2.5693814754486084,0.0011347802355885506,0.02343549020588398,1,0.2555066079295154,-3.0702109336853027,0.002752338070422411,1090.1908550262451,0.6179775280898876,0.021739130434782608,0.0,0.0
190,43.976966857910156,757.6416184971098,49.89162826538086,3.4535598754882812,0.001962402369827032,0.01000877097249031,1,0.14450867052023122,-3.0475242137908936,0.005088794976472855,1149.1676533222198,0.5434782608695652,0.0,0.0,0.0
200,49.81170654296875,615.3615023474179,46.6970329284668,2.594499349594116,0.0011407812125980854,0.018055938184261322,1,0.23943661971830985,-2.9451851844787598,0.004843698814511299,1206.5950219631195,0.6296296296296297,0.0,0.0,0.0
210,54.55236053466797,665.3401015228426,40.4254150390625,2.0727202892303467,-0.005295919254422188,0.01647464744746685,1,0.23857868020304568,-2.9294967651367188,0.007443007081747055,1266.1865413188934,0.746031746031746,0.0,0.0,0.0
220,53.27226257324219,601.2477064220184,37.49834060668945,2.097852945327759,0.002796791959553957,0.014687569811940193,1,0.20642201834862386,-2.9066638946533203,0.005478748586028814,1327.9865338802338,0.75,0.018518518518518517,0.0,0.0
230,59.55018615722656,682.6666666666666,33.256927490234375,2.5991530418395996,0.003038812894374132,0.012089669704437256,1,0.22916666666666666,-2.8614773750305176,0.003219200763851404,1388.4890859127045,0.7307692307692307,0.04285714285714286,0.0,0.0
240,66.2337646484375,814.111801242236,28.581880569458008,1.9897234439849854,0.010903609916567802,0.009059539996087551,1,0.2857142857142857,-2.842618942260742,0.005069322884082794,1442.3217887878418,1.0,0.03361344537815126,0.0,0.0
250,59.66758728027344,682.6666666666666,35.663631439208984,2.4893112182617188,-0.010884588584303856,0.011541534215211868,1,0.15104166666666666,-2.8032238483428955,0.004545146599411964,1499.2791018486023,0.9130434782608695,0.047337278106508875,0.0,0.0
260,76.91582489013672,728.1777777777778,28.043956756591797,1.8058868646621704,-0.008749101310968399,0.01967964693903923,1,0.37777777777777777,-2.773725986480713,0.00367104634642601,1555.6695256233215,1.0,0.18840579710144928,0.0,0.0
270,85.2849349975586,809.0864197530864,29.497974395751953,1.966071605682373,-0.002110084518790245,0.022501863539218903,1,0.5061728395061729,-2.743767261505127,0.004788098391145468,1609.5194234848022,1.0,0.4244604316546763,0.0,0.0
280,94.56790924072266,601.2477064220184,31.543066024780273,2.1814024448394775,-0.005006358493119478,0.02759380266070366,1,0.5045871559633027,-2.7274603843688965,0.004644661210477352,1666.6365354061127,0.9117647058823529,0.42934782608695654,0.0,0.0
290,103.0790023803711,543.8672199170124,24.7810001373291,1.937968134880066,-0.001698758453130722,0.03213484585285187,1,0.7261410788381742,-2.690656900405884,0.004701212514191866,1735.6461434364319,0.9833333333333333,0.6408839779005525,0.0,0.0
300,103.2417984008789,672.1641025641026,22.799625396728516,2.106431245803833,-0.004039292223751545,0.01959489844739437,1,0.7743589743589744,-2.6703715324401855,0.0027875907253473997,1798.1491885185242,1.0,0.696551724137931,0.0,0.0
310,115.71051025390625,618.2641509433962,23.880611419677734,2.3428761959075928,-0.004550972953438759,0.023053131997585297,1,0.8018867924528302,-2.6343460083007812,0.0042708152905106544,1865.3874645233154,1.0,0.7218543046357616,0.0,0.0
320,120.48402404785156,539.3909465020577,19.163806915283203,2.3140275478363037,-0.005559183191508055,0.021102899685502052,1,0.8148148148148148,-2.6119983196258545,0.004779414273798466,1932.5927393436432,1.0,0.7540983606557377,0.0,0.0
330,120.9413070678711,487.25650557620816,13.549317359924316,1.9200230836868286,-0.004713146016001701,0.019761860370635986,1,0.8141263940520446,-2.6036386489868164,0.002773268148303032,2002.9647228717804,1.0,0.7282608695652174,0.0,0.0
340,104.75758361816406,648.8712871287129,14.39067554473877,2.2423176765441895,0.016943760216236115,0.018691327422857285,1,0.8514851485148515,-2.594104766845703,0.004418994300067425,2073.3400683403015,1.0,0.8064516129032258,0.0,0.0
350,114.06283569335938,598.5022831050228,12.583571434020996,1.9107449054718018,-0.008442431688308716,0.01587790437042713,1,0.8767123287671232,-2.5595574378967285,0.004614357836544514,2142.3096010684967,1.0,0.8098591549295775,0.0,0.0
360,117.83324432373047,516.0314960629921,18.49483299255371,1.8707395792007446,0.0003914767876267433,0.017963457852602005,1,0.7952755905511811,-2.5281167030334473,0.004387283697724342,2212.2884752750397,1.0,0.695906432748538,0.0,0.0
370,133.69607543945312,473.1841155234657,17.02956199645996,2.7127685546875,-0.010549287311732769,0.016770796850323677,1,0.7870036101083032,-2.4814679622650146,0.0047636814415454865,2282.3399455547333,1.0,0.7216981132075472,0.0,0.0
380,117.3990478515625,522.199203187251,21.486454010009766,2.252641439437866,-0.01423022523522377,0.02446543611586094,1,0.7569721115537849,-2.490340232849121,0.0040918150916695595,2348.671691417694,1.0,0.6573033707865169,0.0,0.0
390,106.82037353515625,550.7226890756302,20.5753173828125,2.619065761566162,-0.0022978675551712513,0.025164859369397163,1,0.5798319327731093,-2.4651472568511963,0.004370388574898243,2420.460643529892,1.0,0.42528735632183906,0.0,0.0
400,108.45356750488281,567.4112554112554,24.3070011138916,2.311274528503418,0.002550358884036541,0.030033785849809647,1,0.5324675324675324,-2.4260311126708984,0.0025050118565559387,2490.6647505760193,1.0,0.44041450777202074,0.0,0.0
410,108.30757904052734,537.1803278688525,26.80882453918457,2.0902416706085205,0.0034923111088573933,0.022409819066524506,1,0.6475409836065574,-2.367018699645996,0.00472601130604744,2560.2274017333984,1.0,0.5804878048780487,0.0,0.0
420,102.18855285644531,601.2477064220184,24.15643310546875,1.6050893068313599,-0.005546460393816233,0.019446222111582756,1,0.7431192660550459,-2.3833253383636475,0.0043610380962491035,2627.5070340633392,1.0,0.6666666666666666,0.0,0.0
430,106.78591918945312,582.5422222222222,21.8024959564209,1.3081594705581665,-0.0013239108957350254,0.021519560366868973,1,0.8044444444444444,-2.3626389503479004,0.002967667765915394,2696.144974708557,1.0,0.7300613496932515,0.0,0.0
440,97.61151123046875,557.7531914893617,21.201282501220703,1.7024942636489868,0.0015530912205576897,0.018675709143280983,1,0.7446808510638298,-2.3559534549713135,0.005160678178071976,2764.169355869293,1.0,0.6470588235294118,0.0,0.0
450,110.52666473388672,618.2641509433962,18.954307556152344,2.476308584213257,0.005301200784742832,0.01851070672273636,1,0.7924528301886793,-2.3436970710754395,0.005519642494618893,2832.271781206131,1.0,0.751412429378531,0.0,0.0
460,123.26649475097656,522.199203187251,14.134995460510254,2.122760057449341,0.0015084538608789444,0.015330363065004349,1,0.8406374501992032,-2.3691248893737793,0.003475105855613947,2899.6690316200256,1.0,0.7687861271676301,0.0,0.0
470,127.17744445800781,520.1269841269841,16.287765502929688,3.160891532897949,0.007041982375085354,0.012855734676122665,1,0.8492063492063492,-2.3587284088134766,0.0040494403801858425,2968.3937182426453,1.0,0.7828571428571428,0.0,0.0
480,125.81139373779297,485.45185185185187,16.78255271911621,2.5758683681488037,0.005167786963284016,0.013615990057587624,1,0.8444444444444444,-2.32932186126709,0.004057756625115871,3019.6791455745697,1.0,0.78125,0.0,0.0
490,133.46762084960938,439.83892617449663,15.147743225097656,1.9312154054641724,-0.006306858733296394,0.011174336075782776,1,0.8489932885906041,-2.2855143547058105,0.003829858498647809,3088.4171969890594,1.0,0.7945205479452054,0.0,0.0
500,129.15963745117188,461.5211267605634,16.674345016479492,2.5655322074890137,-0.007830120623111725,0.016273777931928635,1,0.8098591549295775,-2.2731614112854004,0.005327959079295397,3157.2458639144897,1.0,0.7326732673267327,0.0,0.0
510,135.81295776367188,414.7848101265823,16.823068618774414,2.0990400314331055,0.005742184817790985,0.011177606880664825,1,0.8575949367088608,-2.260524272918701,0.0048601338639855385,3227.2580513954163,1.0,0.809322033898305,0.0,0.0
520,134.57052612304688,448.8767123287671,18.806917190551758,2.7384510040283203,0.002982857171446085,0.012018391862511635,1,0.7876712328767124,-2.247910499572754,0.003769194707274437,3294.8266594409943,0.9894736842105263,0.6903553299492385,0.0,0.0
530,143.96914672851562,458.2937062937063,15.82089614868164,2.226895332336426,-0.005400238558650017,0.012584779411554337,1,0.8706293706293706,-2.202648639678955,0.005302018485963345,3363.870965242386,1.0,0.8229665071770335,0.0,0.0
