Update,Avg_Reward,Avg_Ep_Length,Miss_Dist_m,Impact_Speed_ms,Policy_Loss,Value_Loss,Stage,Success_Rate,Entropy,KL,Time,Succ_S0,Succ_S1,Succ_S2,Succ_S3
0,-126.47613525390625,154.56603773584905,17.813810348510742,18.567697525024414,-0.007006288506090641,0.35955101251602173,0,0.0,-3.3547604084014893,0.003935765475034714,40.24964642524719,0.0,0.0,0.0,0.0
10,-124.85694885253906,348.59574468085106,75.79045104980469,12.81705093383789,0.0122420284897089,0.07304269075393677,0,0.013297872340425532,-3.3892412185668945,0.006525964476168156,96.12567019462585,0.013297872340425532,0.0,0.0,0.0
20,-102.25303649902344,537.1803278688525,120.56814575195312,18.428390502929688,-0.009263425134122372,0.00626986101269722,0,0.00819672131147541,-3.3726115226745605,0.00464444188401103,155.08616757392883,0.00819672131147541,0.0,0.0,0.0
30,-43.46361541748047,350.4598930481283,31.496469497680664,6.876194953918457,-0.008409088477492332,0.016798891127109528,0,0.02406417112299465,-3.3463120460510254,0.008521953597664833,212.45294213294983,0.02406417112299465,0.0,0.0,0.0
40,-2.8066935539245605,239.6197440585009,9.414230346679688,2.8732919692993164,-0.014837340451776981,0.13013885915279388,0,0.1846435100548446,-3.3148117065429688,0.005773717537522316,268.2848002910614,0.1846435100548446,0.0,0.0,0.0
50,32.78730773925781,313.5693779904306,6.134031295776367,1.7392874956130981,-0.0025214925408363342,0.20119214057922363,0,0.5526315789473685,-3.2687270641326904,0.001726789865642786,323.80285716056824,0.5526315789473685,0.0,0.0,0.0
60,62.076210021972656,385.50588235294117,5.2619242668151855,1.3878620862960815,-0.0150056853890419,0.1236831471323967,1,0.9470588235294117,-3.2638180255889893,0.003087541786953807,380.04996943473816,0.9470588235294117,0.0,0.0,0.0
70,49.34046936035156,478.3649635036496,30.30357551574707,4.3216400146484375,0.010312204249203205,0.03752429038286209,1,0.032846715328467155,-3.1715569496154785,0.0030193114653229713,446.80339908599854,0.36,0.0,0.0,0.0
80,63.81055450439453,936.2285714285714,14.556926727294922,2.6012914180755615,-0.006349856033921242,0.059141285717487335,1,0.7142857142857143,-3.1708171367645264,0.00389093067497015,514.0219337940216,0.9900990099009901,0.0,0.0,0.0
90,42.75529479980469,799.219512195122,29.09346580505371,3.4367258548736572,0.014287125319242477,0.009901447221636772,1,0.024390243902439025,-3.1334614753723145,0.0027781007811427116,580.5319201946259,0.5,0.006329113924050633,0.0,0.0
100,23.792545318603516,780.1904761904761,31.44036102294922,3.93044114112854,0.004753961227834225,0.007905276492238045,1,0.0,-3.1087684631347656,0.0037033269181847572,649.7829484939575,0.0,0.0,0.0,0.0
110,15.107239723205566,693.5026455026455,23.099552154541016,4.357272624969482,-0.0010251279454678297,0.0084551265463233,1,0.0,-3.0822927951812744,0.003960713744163513,699.5233914852142,0.0,0.0,0.0,0.0
120,11.826847076416016,658.6532663316583,43.46580505371094,6.660152435302734,0.002592043951153755,0.04225631058216095,1,0.15577889447236182,-3.032430410385132,0.005477577913552523,749.5640141963959,0.31,0.0,0.0,0.0
130,7.248812198638916,789.5903614457832,112.32503509521484,5.539278030395508,0.004279598593711853,0.022643160074949265,1,0.06626506024096386,-3.074697256088257,0.0020377349574118853,815.5086140632629,0.2,0.0,0.0,0.0
140,-6.900354385375977,697.1914893617021,148.43060302734375,5.170178413391113,-0.014066672883927822,0.010831163264811039,1,0.005319148936170213,-3.047280788421631,0.006718357093632221,880.9048643112183,0.011494252873563218,0.0,0.0,0.0
150,2.9956729412078857,708.4972972972973,95.30110168457031,3.946328639984131,0.005257964599877596,0.015037477016448975,1,0.08108108108108109,-3.0727462768554688,0.0025464314967393875,945.1359465122223,0.14018691588785046,0.0,0.0,0.0
160,37.75873565673828,724.1546961325967,70.1093978881836,2.9386534690856934,-0.0075418949127197266,0.041844405233860016,1,0.3867403314917127,-3.06760311126709,0.004722523037344217,1012.236887216568,0.7777777777777778,0.0,0.0,0.0
170,44.99003219604492,784.8622754491018,59.372161865234375,3.4216272830963135,-1.166015863418579e-06,0.02279732935130596,1,0.20359281437125748,-3.0761830806732178,0.004026574082672596,1078.8755984306335,0.918918918918919,0.0,0.0,0.0
180,45.576026916503906,757.6416184971098,45.22650909423828,3.9963717460632324,-0.0012332974001765251,0.020886274054646492,1,0.1329479768786127,-3.0751707553863525,0.003907112404704094,1147.1951160430908,0.7931034482758621,0.0,0.0,0.0
190,32.02687072753906,771.0117647058823,50.575069427490234,2.435901165008545,-0.010025588795542717,0.007983636111021042,1,0.0058823529411764705,-3.0530295372009277,0.0042093535885214806,1214.144653558731,0.02702702702702703,0.0,0.0,0.0
200,38.44758224487305,624.152380952381,34.48248291015625,1.7565923929214478,-0.0008104625158011913,0.04029034823179245,1,0.2523809523809524,-3.024264335632324,0.005478147882968187,1267.9624464511871,0.4380165289256198,0.0,0.0,0.0
210,44.77461624145508,593.0859728506788,61.46661376953125,2.1226634979248047,-0.009095197543501854,0.0292515829205513,1,0.27149321266968324,-3.003892421722412,0.0037406005430966616,1317.7950048446655,0.8571428571428571,0.0,0.0,0.0
220,53.29792022705078,748.9828571428571,65.34490966796875,3.7834596633911133,0.002954744268208742,0.018211811780929565,1,0.2,-3.0064449310302734,0.003079707035794854,1365.9650468826294,0.9117647058823529,0.028368794326241134,0.0,0.0
230,50.79423522949219,819.2,50.77796173095703,4.263082027435303,-0.007291822694242001,0.015562894754111767,1,0.21875,-2.952040672302246,0.00313879968598485,1417.7172837257385,0.9090909090909091,0.03937007874015748,0.0,0.0
240,55.035335540771484,724.1546961325967,60.25758361816406,3.17219877243042,-0.0007988864090293646,0.02630949392914772,1,0.3370165745856354,-2.8895976543426514,0.005970802623778582,1483.872031211853,0.9142857142857143,0.19863013698630136,0.0,0.0
250,57.803802490234375,748.9828571428571,61.05234146118164,2.1919219493865967,-0.007297438569366932,0.027176691219210625,1,0.3485714285714286,-2.8680286407470703,0.0035435501486063004,1548.4720575809479,0.9117647058823529,0.2127659574468085,0.0,0.0
